"ID";"X3.Forest_1985";"X5.Mangrove_1985";"X6.Floodable_Formation_1985";"X33.RiverLakeOcean_1985";"X41.OtherTemporaryPond_1985";"X12.Grassland_1985";"X29.RockyOutcrop_1985";"X15.Pasture_1985";"X24.UrbanArea_1985";"X25.OtherNonVegetable_1985";"X0.x";"X30.Mining_1985";"X4.Savanna_Fomation_1985";"X11.Wetland_1985";"X21.MosaicOfUse_1985";"X3.Forest_2000";"X5.Mangrove_2000";"X6.Floodable_Formation_2000";"X30.Mining_2000";"X33.RiverLakeOcean_2000";"X12.Grassland_2000";"X29.RockyOutcrop_2000";"X15.Pasture_2000";"X24.UrbanArea_2000";"X25.OtherNonVegetable_2000";"X41.OtherTemporaryPond_2000";"X4.Savanna_Fomation_2000";"X11.Wetland_2000";"X21.MosaicOfUse_2000";"X39.Soybean_2000";"X9.ForestPlantation_2000";"X0.y";"X3.Forest_2015";"X5.Mangrove_2015";"X6.Floodable_Formation_2015";"X30.Mining_2015";"X33.RiverLakeOcean_2015";"X11.Wetland_2015";"X12.Grassland_2015";"X29.RockyOutcrop_2015";"X0.x.x";"X15.Pasture_2015";"X24.UrbanArea_2015";"X25.OtherNonVegetable_2015";"X41.OtherTemporaryPond_2015";"X4.Savanna_Fomation_2015";"X21.MosaicOfUse_2015";"X39.Soybean_2015";"X9.ForestPlantation_2015";"X3.Forest_2024";"X5.Mangrove_2024";"X6.Floodable_Formation_2024";"X30.Mining_2024";"X32.Hypersaline_2024";"X33.RiverLakeOcean_2024";"X12.Grassland_2024";"X29.RockyOutcrop_2024";"X15.Pasture_2024";"X24.UrbanArea_2024";"X25.OtherNonVegetable_2024";"X39.Soybean_2024";"X4.Savanna_Fomation_2024";"X11.Wetland_2024";"X21.MosaicOfUse_2024";"X41.OtherTemporaryPond_2024";"X9.ForestPlantation_2024";"X0.y.y";"latitude";"longitude";"morfotipo"
"1";2180;492;480;69;294;0;0;0;0;0;0;0;0;0;0;2415;513;541;5;41;0;0;0;0;0;0;0;0;0;0;0;0;2415;486;570;5;39;0;0;0;0;0;0;0;0;0;0;0;0;2415;500;546;5;6;43;0;0;0;0;0;0;0;0;0;0;0;0;"-2,68877";"-44,33498";"orange"
"2";2312;0;551;136;0;294;146;0;0;0;0;0;0;0;0;2311;0;627;0;61;294;146;0;0;0;0;0;0;0;0;0;0;2302;0;620;0;71;5;295;146;0;0;0;0;0;0;0;0;0;2308;0;656;0;0;36;293;146;0;0;0;0;0;0;0;0;0;0;"-9,58188";"-55,91805";"yellow with black vermiculations"
"3";3503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3214;0;0;283;6;0;0;0;0;0;0;0;0;0;0;0;0;3146;0;0;357;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"-5,77051";"-50,57191";"red"
"4";2145;0;757;135;0;293;103;0;0;0;0;0;0;0;0;2144;0;846;0;47;293;103;0;0;0;0;0;0;0;0;0;0;2135;0;838;0;58;5;294;103;0;0;0;0;0;0;0;0;0;2140;0;871;0;0;26;293;103;0;0;0;0;0;0;0;0;0;0;"-9,57958";"-55,91738";"yellow with black vermiculations"
"5";204;0;0;0;0;0;0;1646;1606;1;0;0;0;0;0;51;0;0;0;0;0;0;1235;2149;22;0;0;0;0;0;0;0;94;0;0;0;0;0;0;0;1;911;2247;197;7;0;0;0;0;129;0;0;0;0;0;0;0;792;2288;248;0;0;0;0;0;0;0;"-3,30323";"-52,54046";"orange"
"6";0;0;0;0;0;0;0;0;3389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3389;0;0;0;0;0;0;0;0;"-4,26473";"-55,99195";"yellow"
"7";3052;0;0;0;0;136;291;0;0;0;31;0;0;0;0;2904;0;0;0;0;140;291;175;0;0;0;0;0;0;0;0;0;2970;0;0;0;0;0;140;291;0;109;0;0;0;0;0;0;0;2653;0;0;0;0;0;119;291;447;0;0;0;0;0;0;0;0;0;"-6,45076";"-49,69564";"black with a varied cream pattern"
"8";3097;0;308;80;0;0;0;1;0;0;0;0;0;0;0;3054;0;274;0;156;0;0;2;0;0;0;0;0;0;0;0;0;3056;0;275;0;135;0;0;0;0;12;0;8;0;0;0;0;0;2909;0;321;0;0;99;0;0;150;0;7;0;0;0;0;0;0;0;"-2,98686";"-50,44056";"yellow"
"9";2562;0;749;135;0;0;0;0;0;0;0;0;0;0;0;2564;0;779;0;103;0;0;0;0;0;0;0;0;0;0;0;0;2522;0;787;0;102;0;0;0;35;0;0;0;0;0;0;0;0;2557;0;808;0;0;81;0;0;0;0;0;0;0;0;0;0;0;0;"-9,59749";"-55,9321";"yellow with black vermiculations"
"10";2560;0;745;133;0;0;0;0;0;0;0;0;0;0;0;2562;0;775;0;101;0;0;0;0;0;0;0;0;0;0;0;0;2520;0;783;0;100;0;0;0;35;0;0;0;0;0;0;0;0;2555;0;805;0;0;78;0;0;0;0;0;0;0;0;0;0;0;0;"-9,5979";"-55,93116";"yellow with black vermiculations"
